Hourly,Environment:Site Diffuse Solar Radiation Rate per Area[W/m2],Environment:Site Direct Solar Radiation Rate per Area[W/m2],ESTE:Zone Air Relative Humidity[%],OESTE:Zone Air Relative Humidity[%],ESTE:Zone Air Temperature[C],OESTE:Zone Air Temperature[C]
2006-Jan-07 01:00:00,0.0,0.0,28.214311400530935,28.491865789741652,25.93247119503401,25.767103853139485
2006-Jan-07 02:00:00,0.0,0.0,29.57745963119724,29.84633017012385,25.137610462322183,24.985722603629423
2006-Jan-07 03:00:00,0.0,0.0,30.94416295215639,31.232697536835165,24.381137455021545,24.226329967144423
2006-Jan-07 04:00:00,0.0,0.0,32.33297987745943,32.66012372706499,23.65015950089239,23.48315293531397
2006-Jan-07 05:00:00,0.0,0.0,33.714768785104006,34.06404915422383,22.932009405119526,22.761937538200346
2006-Jan-07 06:00:00,0.0,0.0,35.146959802857886,35.503852837460144,22.22921570426296,22.063381793051573
2006-Jan-07 07:00:00,0.0,0.0,36.64801810138035,37.008414424475625,21.54413661267877,21.38434060783688
2006-Jan-07 08:00:00,47.72222222222223,381.27777777777777,38.22831314465815,38.58565642138445,20.87601978621932,20.724839027640552
2006-Jan-07 09:00:00,85.58333333333333,679.1666666666666,39.58750172184107,39.78258488817793,20.32349335716258,20.243676500604085
2006-Jan-07 10:00:00,95.91666666666667,847.0833333333334,40.119647258569195,39.73794714461383,20.125763673641444,20.280587029065533
2006-Jan-07 11:00:00,100.33333333333333,925.3333333333334,39.5241295622567,38.15488903690013,20.39985191053373,20.974298648781243
2006-Jan-07 12:00:00,105.5,950.9166666666666,37.879407384218446,35.12325178102144,21.092724631789434,22.334395342064013
2006-Jan-07 13:00:00,115.25,934.5,35.534304242487146,31.87902851845887,22.1529038207215,23.947776290751875
2006-Jan-07 14:00:00,121.75,888.75,32.63069411037525,29.304723733072965,23.58001483961147,25.375475466359656
2006-Jan-07 15:00:00,121.0,807.1666666666666,29.823058380503255,27.065242438643654,25.019980115776637,26.655990459315017
2006-Jan-07 16:00:00,101.25,705.8333333333334,27.41526842446822,25.36257037229909,26.461306609856056,27.78573525210474
2006-Jan-07 17:00:00,60.25,553.4166666666666,25.496037840574576,24.161772834787456,27.73930373820575,28.660905312152483
2006-Jan-07 18:00:00,20.500000000000004,246.5,23.95930049502716,23.23507383773047,28.687509954463184,29.21641296955322
2006-Jan-07 19:00:00,1.222222222222222,14.555555555555552,23.204293051674032,23.056936174525337,29.24140402057776,29.35182422376211
2006-Jan-07 20:00:00,0.0,0.0,23.221063952849544,23.462907731077962,29.27849241340708,29.09938836900811
2006-Jan-07 21:00:00,0.0,0.0,23.68530445039751,24.108086122422947,28.92413844309344,28.618966145774376
2006-Jan-07 22:00:00,0.0,0.0,24.49288410433933,24.925675543868824,28.34321769356535,28.042004413769472
2006-Jan-07 23:00:00,0.0,0.0,25.602312472597543,26.03188866871353,27.578597078918687,27.294321844994375
2006-Jan-08 00:00:00,0.0,0.0,26.78577368369385,27.18841872845935,26.73174765478325,26.47804567133609
2006-Jan-08 01:00:00,0.0,0.0,28.012273862912384,28.32749689158886,25.92671687349151,25.737688756382813
2006-Jan-08 02:00:00,0.0,0.0,29.29181732356237,29.58395880870684,25.18306666781693,25.01641897827007
2006-Jan-08 03:00:00,0.0,0.0,30.585275607876255,30.87804761133407,24.46790175462156,24.308832891365345
2006-Jan-08 04:00:00,0.0,0.0,31.91681392111717,32.23244838294204,23.766526429402997,23.603149134020924
2006-Jan-08 05:00:00,0.0,0.0,33.34326266825587,33.68974820511459,23.05066711924664,22.879944729514424
2006-Jan-08 06:00:00,0.0,0.0,34.86694864301968,35.23468869017651,22.322812226136254,22.150495751837045
2006-Jan-08 07:00:00,0.0,0.0,36.5022191885725,36.88003478259886,21.595332198816266,21.42713355283202
2006-Jan-08 08:00:00,34.80555555555556,504.1666666666667,38.19422710707614,38.57508021366751,20.880821108190418,20.71960180564373
2006-Jan-08 09:00:00,67.16666666666667,775.25,39.66353801052983,39.84497002711893,20.29578321350642,20.221575718058844
2006-Jan-08 10:00:00,83.0,888.4166666666666,40.23306356652517,39.742406708957404,20.09216028487208,20.290949420371696
2006-Jan-08 11:00:00,91.0,948.9166666666666,39.50263827855917,37.87044998444673,20.407618165886706,21.095690127092634
2006-Jan-08 12:00:00,94.83333333333333,977.8333333333334,37.74599743477764,34.58607017208382,21.14240303722713,22.581024694462386
2006-Jan-08 13:00:00,95.41666666666667,984.1666666666666,35.374234463754966,31.337587461728788,22.228388469490167,24.234195985330103
2006-Jan-08 14:00:00,92.08333333333333,968.5833333333334,32.54215306008299,28.896605410240785,23.6372560863679,25.623795404364675
2006-Jan-08 15:00:00,84.75,924.5833333333334,29.758786692687575,26.749821835116183,25.063382760994497,26.86232291071472
2006-Jan-08 16:00:00,72.25,831.1666666666666,27.313407961524344,25.077224809162455,26.52519679168694,27.98018898505858
2006-Jan-08 17:00:00,49.333333333333336,628.8333333333334,25.316726208385447,23.86265874461195,27.86058942163318,28.87597996161684
2006-Jan-08 18:00:00,19.583333333333336,268.25,23.741316431986302,22.951643291037072,28.853969874315368,29.43769283418692
2006-Jan-08 19:00:00,1.222222222222222,15.666666666666664,22.96573982610749,22.80149585284647,29.43458233747889,29.559172149344487
2006-Jan-08 20:00:00,0.0,0.0,22.97173876177982,23.222702088508257,29.47859441123478,29.290500180957178
2006-Jan-08 21:00:00,0.0,0.0,23.432194750121795,23.873151902918206,29.121735349043774,28.79969712934583
2006-Jan-08 22:00:00,0.0,0.0,24.265714173766494,24.70016339609363,28.514383051378683,28.208875108985527
2006-Jan-08 23:00:00,0.0,0.0,25.387970877603305,25.828614510779705,27.732073642519648,27.43778017295068
2006-Jan-09 00:00:00,0.0,0.0,26.580071630022854,26.992464445996685,26.87144514415719,26.60936235242383
2006-Jan-09 01:00:00,0.0,0.0,27.809212063645077,28.129137661456685,26.057335549166154,25.863913580788093
2006-Jan-09 02:00:00,0.0,0.0,29.08431768794983,29.37721997883521,25.308931500634984,25.14049673496261
2006-Jan-09 03:00:00,0.0,0.0,30.366147181207296,30.65521277498941,24.59329988901935,24.43494497969624
2006-Jan-09 04:00:00,0.0,0.0,31.680829947624627,31.984935217838522,23.894121337862003,23.735341289437965
2006-Jan-09 05:00:00,0.0,0.0,33.062081929793386,33.400574712411206,23.193870485921334,23.025480158137338
2006-Jan-09 06:00:00,0.0,0.0,34.52151961351591,34.884121643491035,22.48872763280015,22.31690759687393
2006-Jan-09 07:00:00,0.0,0.0,36.06133386256934,36.43585875511143,21.79973993278848,21.630704181383646
2006-Jan-09 08:00:00,34.80555555555556,495.0,37.6011999520497,37.97652222810319,21.138764977034995,20.97706556819114
2006-Jan-09 09:00:00,67.16666666666667,766.1666666666666,38.934136301764035,39.119319516533295,20.601033344230057,20.5237593483196
2006-Jan-09 10:00:00,83.16666666666667,879.6666666666666,39.40421738044059,38.94900861408597,20.430487247160762,20.61931886062924
2006-Jan-09 11:00:00,91.91666666666667,937.4166666666666,38.63941874262375,37.07530200427787,20.76012220950979,21.435721349576067
2006-Jan-09 12:00:00,95.66666666666667,966.9166666666666,37.02436925871825,33.99029290114452,21.472252875587127,22.881841676087973
2006-Jan-09 13:00:00,95.5,973.9166666666666,34.71841128729171,30.870742627154453,22.549919514941028,24.498759408565338
2006-Jan-09 14:00:00,92.25,957.1666666666666,31.822307778786783,28.348422854073252,24.005266911147444,25.943187079538458
2006-Jan-09 15:00:00,86.83333333333333,901.1666666666666,28.99057221869859,26.09812137475117,25.517849562900995,27.29778835217851
2006-Jan-09 16:00:00,80.16666666666667,758.3333333333334,26.51485146221643,24.346055061562367,27.021030635751313,28.480057234638313
2006-Jan-09 17:00:00,58.75,536.0,24.645731087421847,23.208576381988404,28.324204112534897,29.359666323333908
2006-Jan-09 18:00:00,22.75,226.41666666666666,23.22168834845102,22.39125570578506,29.26742500984696,29.898286547094617
2006-Jan-09 19:00:00,1.3888888888888886,13.22222222222222,22.476003317095472,22.200041109862386,29.837032475179473,30.052100712309713
2006-Jan-09 20:00:00,0.0,0.0,22.42980565828341,22.530919986687454,29.91840448839098,29.84035899606216
2006-Jan-09 21:00:00,0.0,0.0,22.80860932872311,23.07210011250929,29.611146975974737,29.411955446354355
2006-Jan-09 22:00:00,0.0,0.0,23.487764217182292,23.77246749417941,29.095453394304656,28.886950740650818
2006-Jan-09 23:00:00,0.0,0.0,24.462402983506184,24.727135714346005,28.385251252770995,28.200138938037558
2006-Jan-10 00:00:00,0.0,0.0,25.530198565342648,25.80547259939117,27.57173621870092,27.388264086462517
2006-Jan-10 01:00:00,0.0,0.0,26.71495880933446,26.90355239448569,26.74776125100718,26.62808840145873
2006-Jan-10 02:00:00,0.0,0.0,27.92773668447913,28.08768073977029,25.99995624217765,25.903419089194557
2006-Jan-10 03:00:00,0.0,0.0,29.149589554119444,29.30663171998229,25.28294780951953,25.19265534523052
2006-Jan-10 04:00:00,0.0,0.0,30.417559800675708,30.59256243186823,24.57396915572419,24.47813690918881
2006-Jan-10 05:00:00,0.0,0.0,31.780053019200807,31.989041334969315,23.84826210294175,23.739357131317472
2006-Jan-10 06:00:00,0.0,0.0,33.236394667389895,33.46947240408097,23.110093073698895,22.994621049878855
2006-Jan-10 07:00:00,0.0,0.0,34.77471382170703,35.021107910402634,22.388463538331198,22.272417069771308
2006-Jan-10 08:00:00,37.388888888888886,462.7222222222222,36.323334667590075,36.57424421493352,21.694661679921566,21.58208549658867
2006-Jan-10 09:00:00,71.08333333333333,740.9166666666666,37.71056024688184,37.792283594389964,21.12343490530421,21.08781612340812
2006-Jan-10 10:00:00,87.16666666666667,862.6666666666666,38.25344043866046,37.74425450292548,20.919806869031582,21.138225100819664
2006-Jan-10 11:00:00,95.58333333333333,925.0833333333334,37.59349840148017,36.07660099467998,21.20887810864352,21.884292227954788
2006-Jan-10 12:00:00,97.66666666666667,960.0833333333334,36.1076006434256,33.22127145598296,21.88781003122305,23.26527511583878
2006-Jan-10 13:00:00,96.58333333333333,970.5833333333334,33.933706212451106,30.201365308910137,22.921380723445193,24.86034516118536
2006-Jan-10 14:00:00,94.08333333333333,949.6666666666666,31.12315618071163,27.736104261117788,24.359492655334055,26.29633033128395
